model,text,best_C,n_features,val_macro_f1,test_macro_f1,test_accuracy,neg_precision,neg_recall,neg_f1,pos_precision,pos_recall,pos_f1
word_tfidf_lr,text_norm,4.0,115163,0.7934,0.7982,0.8682,0.5955,0.791,0.6794,0.9518,0.8847,0.917
word_tfidf_svm,text_norm,0.3,115163,0.7933,0.7996,0.8676,0.5919,0.8068,0.6829,0.9551,0.8807,0.9164
char_tfidf_lr,text_norm,4.0,114656,0.7806,0.786,0.8547,0.561,0.8153,0.6647,0.9561,0.8631,0.9073
char_tfidf_svm,text_norm,0.3,114656,0.7794,0.7877,0.8547,0.56,0.829,0.6684,0.9591,0.8603,0.907
