model,text,best_C,n_features,val_macro_f1,test_macro_f1,test_accuracy,neg_precision,neg_recall,neg_f1,pos_precision,pos_recall,pos_f1
word_tfidf_lr,text_min,2.0,116723,0.7911,0.7995,0.866,0.5862,0.821,0.684,0.958,0.8757,0.915
word_tfidf_svm,text_min,0.3,116723,0.7921,0.7998,0.8676,0.5916,0.8087,0.6833,0.9555,0.8802,0.9163
char_tfidf_lr,text_min,4.0,130385,0.783,0.7854,0.8546,0.561,0.8122,0.6636,0.9554,0.8637,0.9072
char_tfidf_svm,text_min,0.3,130385,0.7807,0.7873,0.8548,0.5604,0.8255,0.6676,0.9583,0.8611,0.9071
